,file_name,ID,dir,Class,Emotion
0,03-01-06-01-02-02-02.wav,0,emotion_speech,06,fearful
1,03-01-05-01-02-01-16.wav,1,emotion_speech,05,angry
2,03-01-08-01-01-01-14.wav,2,emotion_speech,08,surprise
3,03-01-06-01-02-02-16.wav,3,emotion_speech,06,fearful
4,03-01-05-01-02-01-02.wav,4,emotion_speech,05,angry
5,03-01-06-02-01-02-16.wav,5,emotion_speech,06,fearful
6,03-01-05-02-01-01-02.wav,6,emotion_speech,05,angry
7,03-01-08-02-02-01-14.wav,7,emotion_speech,08,surprise
8,03-01-06-02-01-02-02.wav,8,emotion_speech,06,fearful
9,03-01-05-02-01-01-16.wav,9,emotion_speech,05,angry
10,03-01-05-01-01-01-22.wav,10,emotion_speech,05,angry
11,03-01-08-01-02-01-20.wav,11,emotion_speech,08,surprise
12,03-01-06-01-01-02-22.wav,12,emotion_speech,06,fearful
13,03-01-08-01-02-01-08.wav,13,emotion_speech,08,surprise
14,03-01-08-02-01-01-08.wav,14,emotion_speech,08,surprise
15,03-01-06-02-02-02-22.wav,15,emotion_speech,06,fearful
16,03-01-08-02-01-01-20.wav,16,emotion_speech,08,surprise
17,03-01-05-02-02-01-22.wav,17,emotion_speech,05,angry
18,03-01-03-01-01-02-06.wav,18,emotion_speech,03,happy
19,03-01-03-01-01-02-12.wav,19,emotion_speech,03,happy
20,03-01-04-01-01-02-02.wav,20,emotion_speech,04,sad
21,03-01-07-01-01-01-16.wav,21,emotion_speech,07,disgust
22,03-01-04-01-01-02-16.wav,22,emotion_speech,04,sad
23,03-01-07-01-01-01-02.wav,23,emotion_speech,07,disgust
24,03-01-04-02-02-02-16.wav,24,emotion_speech,04,sad
25,03-01-07-02-02-01-02.wav,25,emotion_speech,07,disgust
26,03-01-04-02-02-02-02.wav,26,emotion_speech,04,sad
27,03-01-07-02-02-01-16.wav,27,emotion_speech,07,disgust
28,03-01-03-02-02-02-12.wav,28,emotion_speech,03,happy
29,03-01-03-02-02-02-06.wav,29,emotion_speech,03,happy
30,03-01-07-01-02-01-22.wav,30,emotion_speech,07,disgust
31,03-01-04-01-02-02-22.wav,31,emotion_speech,04,sad
32,03-01-04-02-01-02-22.wav,32,emotion_speech,04,sad
33,03-01-07-02-01-01-22.wav,33,emotion_speech,07,disgust
34,03-01-07-02-01-01-23.wav,34,emotion_speech,07,disgust
